name,domain,country,state,city,employees,revenue,founded_year,type,employees_num,revenue_num,founded_year_num,main_industry,categories_list,category_primary
BMW,bmw.com,Germany,Bavaria,Munich,over-10K,over-1b,1992.0,public,12000.0,1500000000.0,1992.0,manufacturing,"['b2c', 'b2b']",B2C
Audi,audiusa.com,United States,Connecticut,Washington,1K-5K,over-1b,1909.0,private,3000.0,1500000000.0,1909.0,retail,"['b2c', 'saas']",B2C
Mercedes-Benz,mercedes-benz.co.uk,United Kingdom,England,Milton Keynes,1K-5K,200m-1b,1886.0,public,3000.0,600000000.0,1886.0,manufacturing,['b2c'],B2C
Genesis,genesis.com,South Korea,Seoul,Seoul,501-1K,1m-10m,2016.0,public,251000.0,5500000.0,2016.0,manufacturing,"['b2c', 'media']",B2C
BMW Vietnam,bmw.vn,Vietnam,Hồ Chí Minh,Ho Chi Minh City,51-200,Unknown,2006.0,public,125.5,600000000.0,2006.0,retail,"['b2c', 'b2b', 'service-provider']",B2C
Lexus,lexus.com,United States,California,Torrance,5K-10K,over-1b,1989.0,public,7500.0,1500000000.0,1989.0,retail,"['b2c', 'service-provider']",B2C
Volkswagen Group,volkswagen-group.com,Germany,Lower Saxony,Wolfsburg,over-10K,over-1b,1937.0,public,12000.0,1500000000.0,1937.0,manufacturing,"['b2b', 'b2c']",B2B
Porsche,porscheownersmanuals.com,United States,Unknown,Unknown,201-500,Unknown,Unknown,private,350.5,600000000.0,,manufacturing,"['b2c', 'b2b']",B2C
Cadillac,cadillac.com,United States,Michigan,Detroit,501-1K,over-1b,1908.0,public,251000.0,1500000000.0,1908.0,manufacturing,"['b2c', 'saas']",B2C
Volkswagen,volkswagen.de,Germany,Lower Saxony,Wolfsburg,11-50,Unknown,2002.0,public,30.5,600000000.0,2002.0,manufacturing,"['b2c', 'b2b', 'service-provider']",B2C
Jaguar,jaguar.com,United Kingdom,England,Coventry,51-200,over-1b,1922.0,private,125.5,1500000000.0,1922.0,manufacturing,"['b2c', 'service-provider']",B2C
Lamborghini,lamborghini.com,Italy,Emilia-Romagna,Sant'Agata Bolognese,5K-10K,over-1b,1963.0,private,7500.0,1500000000.0,1963.0,retail,['b2c'],B2C
Nissan,nissan.de,Germany,Berlin,Berlin,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,manufacturing,"['b2c', 'b2b']",B2C
